unique_id,ds,cutoff,y,Naive,SeasonalNaive,AutoETS,AutoARIMA,xgboost,NBEATS,NHITS
hotel_14,2023-04-16,2023-04-07,0.5943396226415094,0.7169811320754716,0.6037735849056604,0.7352899931741916,0.7387799428309066,0.5551454,0.5606624,0.5848881
hotel_14,2023-04-17,2023-04-07,0.7547169811320755,0.7169811320754716,0.6792452830188679,0.7352899931741916,0.7348130390222546,0.66439986,0.6583239,0.61195654
hotel_14,2023-04-18,2023-04-07,0.8867924528301887,0.7169811320754716,0.7830188679245284,0.7352899931741916,0.738484606033218,0.7439576,0.7354837,0.6842172
hotel_14,2023-04-19,2023-04-07,0.8773584905660378,0.7169811320754716,0.8679245283018868,0.7352899931741916,0.7357717280588684,0.8120106,0.73250985,0.683821
hotel_14,2023-04-20,2023-04-07,0.7924528301886793,0.7169811320754716,0.7264150943396226,0.7352899931741916,0.7383640718068664,0.80497867,0.7116839,0.6786373
hotel_14,2023-04-21,2023-04-07,0.8584905660377359,0.7169811320754716,0.7169811320754716,0.7352899931741916,0.7365184720870218,0.89614314,0.75687885,0.7404064
hotel_14,2023-04-22,2023-04-07,0.8113207547169812,0.7169811320754716,0.8867924528301887,0.7352899931741916,0.7383571210194378,0.9156028,0.8328639,0.8729216
hotel_14,2023-04-23,2023-04-07,0.6132075471698113,0.7169811320754716,0.6037735849056604,0.7352899931741916,0.7371104582201773,0.60382366,0.4703102,0.54219425
hotel_14,2023-04-24,2023-04-07,0.6981132075471698,0.7169811320754716,0.6792452830188679,0.7352899931741916,0.7384219497339191,0.69051254,0.6344483,0.6001755
hotel_14,2023-04-25,2023-04-07,0.7641509433962265,0.7169811320754716,0.7830188679245284,0.7352899931741916,0.7375881175346809,0.7043931,0.7927353,0.72245276
hotel_14,2023-04-26,2023-04-07,0.8207547169811321,0.7169811320754716,0.8679245283018868,0.7352899931741916,0.7385301758621173,0.7247628,0.7819628,0.7216186
hotel_14,2023-04-27,2023-04-07,0.7452830188679245,0.7169811320754716,0.7264150943396226,0.7352899931741916,0.7379801740571227,0.7486916,0.775092,0.70566386
hotel_14,2023-04-28,2023-04-07,0.8490566037735849,0.7169811320754716,0.7169811320754716,0.7352899931741916,0.7386626812508148,0.8285873,0.8194451,0.7313419
hotel_14,2023-04-29,2023-04-07,0.9056603773584906,0.7169811320754716,0.8867924528301887,0.7352899931741916,0.7383071588745078,0.8932641,0.83560914,0.7096249
hotel_14,2023-04-30,2023-04-07,0.8490566037735849,0.7169811320754716,0.6037735849056604,0.7352899931741916,0.7388067284572271,0.58279264,0.52547777,0.27478606
hotel_14,2023-05-01,2023-04-07,0.7169811320754716,0.7169811320754716,0.6792452830188679,0.7352899931741916,0.7385838572363578,0.69556135,0.6191733,0.4417028
hotel_14,2023-05-02,2023-04-07,0.7358490566037735,0.7169811320754716,0.7830188679245284,0.7352899931741916,0.7389539626582223,0.70671886,0.70425904,0.6529001
hotel_14,2023-05-03,2023-04-07,0.839622641509434,0.7169811320754716,0.8679245283018868,0.7352899931741916,0.7388210137809763,0.70611715,0.6575573,0.6858394
